dt,p,ir
2024-01-01,6.00,4.50
2023-11-27,6.25,4.75
2023-10-23,6.25,4.75
2023-09-04,6.25,4.75
2023-07-10,6.25,4.75
2023-05-24,6.25,4.75
2023-04-03,6.00,4.50
2023-02-23,5.75,4.25
2023-01-05,5.25,3.75
2022-11-24,4.75,3.25
2022-10-09,4.25,2.75
2022-08-25,3.50,2.00
2022-07-07,2.75,1.25
2022-05-26,2.25,0.75
2022-04-14,1.85,0.35
2021-11-22,1.60,0.10
2021-08-26,1.60,0.10
2021-05-27,1.60,0.10
2021-02-25,1.60,0.10
2021-01-28,1.60,0.10
2020-12-31,1.60,0.10
2020-11-26,1.60,0.10
2020-10-29,1.60,0.10
2020-10-01,1.60,0.10
2020-09-03,1.60,0.10
2020-07-30,1.60,0.10
2020-06-22,1.60,0.10
2020-05-28,1.60,0.10
2020-04-06,1.60,0.10
2020-04-02,1.75,0.25
2020-01-30,1.75,0.25
2020-01-02,1.75,0.25
2019-11-28,1.75,0.25
2019-10-31,1.75,0.25
2019-10-03,1.75,0.25
2019-08-29,1.75,0.25
2019-08-01,1.75,0.25
2019-06-27,1.75,0.25
2019-05-30,1.75,0.25
2019-05-02,1.75,0.25
2019-03-28,1.75,0.25
2019-02-28,1.75,0.25
2019-01-31,1.75,0.25
2019-01-10,1.75,0.25
2018-11-29,1.75,0.25
2018-11-01,1.60,0.10
2018-09-27,1.60,0.10
2018-08-30,1.60,0.10
2018-08-02,1.60,0.10
2018-06-28,1.60,0.10
2018-05-31,1.60,0.10
2018-05-03,1.60,0.10
2018-03-29,1.60,0.10
2018-03-01,1.60,0.10
2018-02-01,1.60,0.10